D:\Project\pixDA\pixDA_CA\results\train240-39-5-G-1_pixDAG2_DDP_DP3_0830_l1_100_l1g_50_DP_0_DDP_0_decay_100_RMS\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.406,0.491,0.700,0.905,0.577,0.526,0.577,
D:\Project\pixDA\pixDA_CA\results\train240-39-5-G-1_pixDAG2_DDP_DP3_0830_l1_100_l1g_50_DP_0_DDP_0_decay_100_RMS\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.400,0.489,0.686,0.901,0.571,0.517,0.571,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter5\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.404,0.490,0.699,0.905,0.576,0.524,0.576,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter5\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.387,0.466,0.696,0.901,0.558,0.505,0.558,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.411,0.504,0.691,0.905,0.583,0.531,0.583,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.393,0.480,0.685,0.900,0.564,0.510,0.564,
D:\Project\pixDA\pixDA_GM\results\train240_40_2_pixDAG_DDP_DP3_drive_DG_0911_DDP_01_DP_01\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.404,0.553,0.600,0.893,0.576,0.514,0.576,
D:\Project\pixDA\pixDA_GM\results\train240_40_2_pixDAG_DDP_DP3_drive_DG_0911_DDP_01_DP_01\test_latest_iter100\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.397,0.548,0.591,0.888,0.569,0.504,0.569,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter150\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.416,0.513,0.686,0.905,0.587,0.535,0.587,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0\test_latest_iter150\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.400,0.491,0.682,0.901,0.571,0.517,0.571,
